WERKS,TXTMD,ODQ_CHANGEMODE,ODQ_ENTITYCNTR
1010,DO NOT USE, ,0
1021,DO NOT USE, ,0
1022,DO NOT USE, ,0
1310,DO NOT USE, ,0
1100,DO NOT USE, ,0
1020,DO NOT USE, ,0
DE11,DO NOT USE, ,0
1400,DO NOT USE, ,0
1200,DO NOT USE, ,0
1610,DO NOT USE, ,0
1650,DO NOT USE, ,0
1800,DO NOT USE, ,0
1660,DO NOT USE, ,0
1640,DO NOT USE, ,0
1620,DO NOT USE, ,0
1300,DO NOT USE, ,0
1670,DO NOT USE, ,0
1810,DO NOT USE, ,0
2020,DO NOT USE, ,0
1730,DO NOT USE, ,0
401M,DO NOT USE, ,0
4080,DO NOT USE, ,0
2050,DO NOT USE, ,0
4140,DO NOT USE, ,0
4176,DO NOT USE, ,0
4177,DO NOT USE, ,0
DE12,DO NOT USE, ,0
4100,DO NOT USE, ,0
GB10,DO NOT USE, ,0
DE10,DO NOT USE, ,0
AT11,DO NOT USE, ,0
4200,DO NOT USE, ,0
2010,DO NOT USE, ,0
DE01,DO NOT USE, ,0
DE02,DO NOT USE, ,0
4180,DO NOT USE, ,0
DE30,DO NOT USE, ,0
DE90,DO NOT USE, ,0
FR01,DO NOT USE, ,0
KR01,DO NOT USE, ,0
FR11,DO NOT USE, ,0
FR20,DO NOT USE, ,0
4270,DO NOT USE, ,0
HK01,DO NOT USE, ,0
SG15,DO NOT USE, ,0
IT01,DO NOT USE, ,0
IT10,DO NOT USE, ,0
IT11,DO NOT USE, ,0
JP01,DO NOT USE, ,0
JP02,DO NOT USE, ,0
JP04,DO NOT USE, ,0
JP61,DO NOT USE, ,0
KR10,DO NOT USE, ,0
FR15,SCHENKER SA, ,0
IT15,ENTEGRIS GMBH, ,0
IT16,ENTEGRIS GMBH, ,0
IN10,ENTEGRIS INC., ,0
1053,ENTEGRIS CANADA, ,0
4225,ENTEGRIS  HSINCHU, ,0
2080,"POCO GRAPHITE, INC", ,0
2085,"POCO GRAPHITE, INC", ,0
IL10,ENTEGRIS ISRAEL LTD, ,0
JP03,NIHON ENTEGRIS G.K., ,0
2100,ENTEGRIS INC - LOGAN, ,0
IE15,ENTEGRIS GMBH IRELAND, ,0
1920,ENTEGRIS INC - BURNET, ,0
US44,ENTEGRIS INC CHANDLER, ,0
1079,ENTEGRIS ASIA - US LLC, ,0
4195,ENTEGRIS ASIA PTE LTD., ,0
AT25,ENTEGRIS CONSI AUSTRIA, ,0
1921,ENTEGRIS INC - DANBURY, ,0
2110,ENTEGRIS INC - ST PAUL, ,0
US41,ENTEGRIS INC HILLSBORO, ,0
US43,ENTEGRIS INC HOLLISTER, ,0
4197,ENTEGRIS ASIA PTE. LTD., ,0
1710,ENTEGRIS INC - FRANKLIN, ,0
US30,ENTEGRIS INC UNION CITY, ,0
CN20,"POCO GRAPHITE, SHANGHAI", ,0
DE20,SCHENKER DEUTSCHLAND AG, ,0
CN10,ENTEGRIS SHANGHAI BONDED, ,0
4178,HANGUK ENTEGRIS CO. LTD., ,0
FR10,SCHENKER LOGISTIC CENTRE, ,0
4220,"ENTEGRIS ASIA LLC, TAIWAN", ,0
4050,ENTEGRIS MALAYSIA Sdn Bhd, ,0
4196,ENTEGRIS MALAYSIA Sdn Bhd, ,0
1630,NIPPON EXPRESS / PORTLAND, ,0
QC01,QUALITY MASTER DATA PLANT, ,0
T400,ENTEGRIS - TOOLING CC 4174, ,0
1922,ENTEGRIS INC - BLOOMINGTON, ,0
1925,ENTEGRIS INC - GAINESVILLE, ,0
SG08,ENTEGRIS SINGAPORE PTE LTD, ,0
SG10,ENTEGRIS SINGAPORE PTE LTD, ,0
FI25,ENTEGRIS WHSE/CONSI FINLAND, ,0
DE25,ENTEGRIS WHSE/CONSI GERMANY, ,0
CN11,ENTEGRIS SHANGHAI NON-BONDED, ,0
4179,ENTEGRIS ASIA PTE. LTD. KOREA, ,0
CN34,ATMI INT'L TRADING CO. LTD-BND, ,0
4265,ENTEGRIS ASIA PTE. LTD. TAIWAN, ,0
4174,"ENTEGRIS KOREA CO.,LTD. JANGAN", ,0
1030,ENTEGRIS PROFESSIONAL SOLUTION, ,0
SG09,DO NOT USE, ,0
SG01,DO NOT USE, ,0
CN15,DO NOT USE, ,0
SG30,DO NOT USE, ,0
SG40,DO NOT USE, ,0
SG91,DO NOT USE, ,0
US03,DO NOT USE, ,0
TW01,DO NOT USE, ,0
TW26,DO NOT USE, ,0
TW27,DO NOT USE, ,0
TW30,DO NOT USE, ,0
TW31,DO NOT USE, ,0
TW40,DO NOT USE, ,0
TW41,DO NOT USE, ,0
