MANDT,FISCALYEARVARIANT,CALENDARDATE,FISCALYEAR,FISCALPERIOD,FISCALQUARTER,FQUARTERSORT,FISCALYEARPERIOD,FYPERIODSORT,FISCALWEEK,FWEEKSORT,FISCALYEAROFFSET,FISCALQUARTEROFFSET,FISCALPERIODOFFSET,FISCALWEEKOFFSET,FISCALYEARSTARTDATE,FISCALYEARENDDATE,FISCALPERIODSTARTDATE,FISCALPERIODENDDATE,FISCALQUARTERSTARTDATE,FISCALQUARTERENDDATE,FISCALWEEKSTARTDATE,FISCALWEEKENDDATE,FISCALPERIODWEEKS,FYEAROFFSETI,FQUARTEROFFSETI,FPERIODOFFSETI,FWEEKOFFSETI
400,Z9,1/1/1997,1996,5,199602,199602,1996005,1996005,199618,199618,4974,4896,4690,3645,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,12/29/1996,1/4/1997,4,-26,-104,-310,-1355
400,Z9,1/2/1997,1996,5,199602,199602,1996005,1996005,199618,199618,4974,4896,4690,3645,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,12/29/1996,1/4/1997,4,-26,-104,-310,-1355
400,Z9,1/3/1997,1996,5,199602,199602,1996005,1996005,199618,199618,4974,4896,4690,3645,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,12/29/1996,1/4/1997,4,-26,-104,-310,-1355
400,Z9,1/4/1997,1996,5,199602,199602,1996005,1996005,199618,199618,4974,4896,4690,3645,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,12/29/1996,1/4/1997,4,-26,-104,-310,-1355
400,Z9,1/5/1997,1996,5,199602,199602,1996005,1996005,199619,199619,4974,4896,4690,3646,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/5/1997,1/11/1997,4,-26,-104,-310,-1354
400,Z9,1/6/1997,1996,5,199602,199602,1996005,1996005,199619,199619,4974,4896,4690,3646,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/5/1997,1/11/1997,4,-26,-104,-310,-1354
400,Z9,1/7/1997,1996,5,199602,199602,1996005,1996005,199619,199619,4974,4896,4690,3646,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/5/1997,1/11/1997,4,-26,-104,-310,-1354
400,Z9,1/8/1997,1996,5,199602,199602,1996005,1996005,199619,199619,4974,4896,4690,3646,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/5/1997,1/11/1997,4,-26,-104,-310,-1354
400,Z9,1/9/1997,1996,5,199602,199602,1996005,1996005,199619,199619,4974,4896,4690,3646,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/5/1997,1/11/1997,4,-26,-104,-310,-1354
400,Z9,1/10/1997,1996,5,199602,199602,1996005,1996005,199619,199619,4974,4896,4690,3646,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/5/1997,1/11/1997,4,-26,-104,-310,-1354
400,Z9,1/11/1997,1996,5,199602,199602,1996005,1996005,199619,199619,4974,4896,4690,3646,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/5/1997,1/11/1997,4,-26,-104,-310,-1354
400,Z9,1/12/1997,1996,5,199602,199602,1996005,1996005,199620,199620,4974,4896,4690,3647,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/12/1997,1/18/1997,4,-26,-104,-310,-1353
400,Z9,1/13/1997,1996,5,199602,199602,1996005,1996005,199620,199620,4974,4896,4690,3647,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/12/1997,1/18/1997,4,-26,-104,-310,-1353
400,Z9,1/14/1997,1996,5,199602,199602,1996005,1996005,199620,199620,4974,4896,4690,3647,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/12/1997,1/18/1997,4,-26,-104,-310,-1353
400,Z9,1/15/1997,1996,5,199602,199602,1996005,1996005,199620,199620,4974,4896,4690,3647,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/12/1997,1/18/1997,4,-26,-104,-310,-1353
400,Z9,1/16/1997,1996,5,199602,199602,1996005,1996005,199620,199620,4974,4896,4690,3647,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/12/1997,1/18/1997,4,-26,-104,-310,-1353
400,Z9,1/17/1997,1996,5,199602,199602,1996005,1996005,199620,199620,4974,4896,4690,3647,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/12/1997,1/18/1997,4,-26,-104,-310,-1353
400,Z9,1/18/1997,1996,5,199602,199602,1996005,1996005,199620,199620,4974,4896,4690,3647,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/12/1997,1/18/1997,4,-26,-104,-310,-1353
400,Z9,1/19/1997,1996,5,199602,199602,1996005,1996005,199621,199621,4974,4896,4690,3648,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/19/1997,1/25/1997,4,-26,-104,-310,-1352
400,Z9,1/20/1997,1996,5,199602,199602,1996005,1996005,199621,199621,4974,4896,4690,3648,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/19/1997,1/25/1997,4,-26,-104,-310,-1352
400,Z9,1/21/1997,1996,5,199602,199602,1996005,1996005,199621,199621,4974,4896,4690,3648,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/19/1997,1/25/1997,4,-26,-104,-310,-1352
400,Z9,1/22/1997,1996,5,199602,199602,1996005,1996005,199621,199621,4974,4896,4690,3648,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/19/1997,1/25/1997,4,-26,-104,-310,-1352
400,Z9,1/23/1997,1996,5,199602,199602,1996005,1996005,199621,199621,4974,4896,4690,3648,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/19/1997,1/25/1997,4,-26,-104,-310,-1352
400,Z9,1/24/1997,1996,5,199602,199602,1996005,1996005,199621,199621,4974,4896,4690,3648,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/19/1997,1/25/1997,4,-26,-104,-310,-1352
400,Z9,1/25/1997,1996,5,199602,199602,1996005,1996005,199621,199621,4974,4896,4690,3648,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/19/1997,1/25/1997,4,-26,-104,-310,-1352
400,Z9,1/26/1997,1996,5,199602,199602,1996005,1996005,199622,199622,4974,4896,4690,3649,9/1/1996,8/31/1997,12/29/1996,1/26/1997,12/1/1996,3/2/1997,1/26/1997,2/1/1997,4,-26,-104,-310,-1351
400,Z9,1/27/1997,1996,6,199602,199602,1996006,1996006,199622,199622,4974,4896,4691,3649,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,1/26/1997,2/1/1997,4,-26,-104,-309,-1351
400,Z9,1/28/1997,1996,6,199602,199602,1996006,1996006,199622,199622,4974,4896,4691,3649,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,1/26/1997,2/1/1997,4,-26,-104,-309,-1351
400,Z9,1/29/1997,1996,6,199602,199602,1996006,1996006,199622,199622,4974,4896,4691,3649,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,1/26/1997,2/1/1997,4,-26,-104,-309,-1351
400,Z9,1/30/1997,1996,6,199602,199602,1996006,1996006,199622,199622,4974,4896,4691,3649,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,1/26/1997,2/1/1997,4,-26,-104,-309,-1351
400,Z9,1/31/1997,1996,6,199602,199602,1996006,1996006,199622,199622,4974,4896,4691,3649,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,1/26/1997,2/1/1997,4,-26,-104,-309,-1351
400,Z9,2/1/1997,1996,6,199602,199602,1996006,1996006,199622,199622,4974,4896,4691,3649,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,1/26/1997,2/1/1997,4,-26,-104,-309,-1351
400,Z9,2/2/1997,1996,6,199602,199602,1996006,1996006,199623,199623,4974,4896,4691,3650,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/2/1997,2/8/1997,4,-26,-104,-309,-1350
400,Z9,2/3/1997,1996,6,199602,199602,1996006,1996006,199623,199623,4974,4896,4691,3650,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/2/1997,2/8/1997,4,-26,-104,-309,-1350
400,Z9,2/4/1997,1996,6,199602,199602,1996006,1996006,199623,199623,4974,4896,4691,3650,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/2/1997,2/8/1997,4,-26,-104,-309,-1350
400,Z9,2/5/1997,1996,6,199602,199602,1996006,1996006,199623,199623,4974,4896,4691,3650,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/2/1997,2/8/1997,4,-26,-104,-309,-1350
400,Z9,2/6/1997,1996,6,199602,199602,1996006,1996006,199623,199623,4974,4896,4691,3650,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/2/1997,2/8/1997,4,-26,-104,-309,-1350
400,Z9,2/7/1997,1996,6,199602,199602,1996006,1996006,199623,199623,4974,4896,4691,3650,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/2/1997,2/8/1997,4,-26,-104,-309,-1350
400,Z9,2/8/1997,1996,6,199602,199602,1996006,1996006,199623,199623,4974,4896,4691,3650,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/2/1997,2/8/1997,4,-26,-104,-309,-1350
400,Z9,2/9/1997,1996,6,199602,199602,1996006,1996006,199624,199624,4974,4896,4691,3651,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/9/1997,2/15/1997,4,-26,-104,-309,-1349
400,Z9,2/10/1997,1996,6,199602,199602,1996006,1996006,199624,199624,4974,4896,4691,3651,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/9/1997,2/15/1997,4,-26,-104,-309,-1349
400,Z9,2/11/1997,1996,6,199602,199602,1996006,1996006,199624,199624,4974,4896,4691,3651,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/9/1997,2/15/1997,4,-26,-104,-309,-1349
400,Z9,2/12/1997,1996,6,199602,199602,1996006,1996006,199624,199624,4974,4896,4691,3651,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/9/1997,2/15/1997,4,-26,-104,-309,-1349
400,Z9,2/13/1997,1996,6,199602,199602,1996006,1996006,199624,199624,4974,4896,4691,3651,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/9/1997,2/15/1997,4,-26,-104,-309,-1349
400,Z9,2/14/1997,1996,6,199602,199602,1996006,1996006,199624,199624,4974,4896,4691,3651,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/9/1997,2/15/1997,4,-26,-104,-309,-1349
400,Z9,2/15/1997,1996,6,199602,199602,1996006,1996006,199624,199624,4974,4896,4691,3651,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/9/1997,2/15/1997,4,-26,-104,-309,-1349
400,Z9,2/16/1997,1996,6,199602,199602,1996006,1996006,199625,199625,4974,4896,4691,3652,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/16/1997,2/22/1997,4,-26,-104,-309,-1348
400,Z9,2/17/1997,1996,6,199602,199602,1996006,1996006,199625,199625,4974,4896,4691,3652,9/1/1996,8/31/1997,1/27/1997,3/2/1997,12/1/1996,3/2/1997,2/16/1997,2/22/1997,4,-26,-104,-309,-1348
